lu_category,latitude,longitude,area_sqm
residential,1.4150969444555737,103.9040007709428,591.5312351
residential,1.4142874275086186,103.90414527000699,572.344646705
residential,1.4160982431459446,103.90546240693315,605.7128985
residential,1.416828130400594,103.90504683632504,745.981472475
residential,1.4158019894806018,103.90529011154823,658.72913695
residential,1.414528870230343,103.90442816015668,572.29784816
residential,1.4185608315953688,103.90839666922696,447.96305804
residential,1.4184875590589419,103.9086992597496,462.936033495
residential,1.4159413977115858,103.90444223064172,12051.357887465
residential,1.4146262423789577,103.90455760558774,572.30473952
residential,1.4193534542948185,103.90902554617732,978.93294283
residential,1.4165910455864603,103.90477252615274,733.32396207
residential,1.4156835278709807,103.90579647438344,579.3462715
residential,1.4145970547779665,103.90361129780172,786.051521
residential,1.4146256908697044,103.9038628248275,407.5840195
residential,1.419075659615234,103.90877579850432,953.12499816
residential,1.4162451180665752,103.90537555942345,605.897184
residential,1.4140713280148658,103.9038651823886,794.61761248
residential,1.415545493787752,103.90562666155414,645.4136924
residential,1.4151863812953507,103.90524790410417,1715.01391665
residential,1.4148316749156835,103.90382666670111,797.8581729
residential,1.4143816822836968,103.90364315663165,401.34624025
