sn,outlet_name,full_address,building,street,unit,postal_code,outlet_type
58,48 Block 63B Lengkok Bahru #01-364 SPPL Branch - L,48 Block 63B Lengkok Bahru #01-364 SPPL Branch - Lengkok Bahru 152063,,,,152063,Branch
59,49 62 Lorong 25A Geylang Road SPPL Branch - Lorong,49 62 Lorong 25A Geylang Road SPPL Branch - Lorong 25A Geylang 388251,,,,388251,Branch
60,50 Block 2 Lorong Lew Lian #01-46 SPPL Branch - Lo,50 Block 2 Lorong Lew Lian #01-46 SPPL Branch - Lorong Lew Lian 531002,,,,531002,Branch
61,51 Lot 1 Shoppers' Mall/ 21 Choa Chu Kang Avenue 4,51 Lot 1 Shoppers' Mall/ 21 Choa Chu Kang Avenue 4 #03-09 SPPL Branch - Lot One 689812,,,,689812,Branch
62,52 Lucky Plaza/ 304 Orchard Road #B1-91/92 SPPL Br,52 Lucky Plaza/ 304 Orchard Road #B1-91/92 SPPL Branch - Lucky Plaza 238863,,,,238863,Branch
63,53 Block 26 New Upper Changi Road #01-666/668 SPPL,53 Block 26 New Upper Changi Road #01-666/668 SPPL Branch - New Upper Changi 462026,,,,462026,Branch
64,54 Northpoint City (North Wing) / 930 Yishun Avenu,54 Northpoint City (North Wing) / 930 Yishun Avenue 2 #02-03 SPPL Branch- Northpoint City 769098,,,,769098,Branch
65,55 Loyang Point/ 259 Pasir Ris Street 21 #02-29 SP,55 Loyang Point/ 259 Pasir Ris Street 21 #02-29 SPPL Branch - Pasir Ris N2 510259,,,,510259,Branch
66,56 Pasir Ris West Plaza/ 735 Pasir Ris Street 72 #,56 Pasir Ris West Plaza/ 735 Pasir Ris Street 72 #01-358 SPPL Branch - Pasir Ris N7 510735,,,,510735,Branch
67,57 Block 148 Potong Pasir Avenue 1 #01-73 SPPL Bra,57 Block 148 Potong Pasir Avenue 1 #01-73 SPPL Branch - Potong Pasir 350148,,,,350148,Branch
68,58 Block 254 Serangoon Central Drive #01-209 SPPL ,58 Block 254 Serangoon Central Drive #01-209 SPPL Branch - Serangoon Central 550254,,,,550254,Branch
69,59 697B East Coast Road SPPL Branch - Siglap 45906,59 697B East Coast Road SPPL Branch - Siglap 459060,,,,459060,Branch
70,60 Block 150 Silat Avenue #01-42 SPPL Branch - Sil,60 Block 150 Silat Avenue #01-42 SPPL Branch - Silat Avenue 160150,,,,160150,Branch
71,61 Sim Lim Square/ 1 Rochor Canal Road #B1-37 SPPL,61 Sim Lim Square/ 1 Rochor Canal Road #B1-37 SPPL Branch - Sim Lim Square 188504,,,,188504,Branch
72,62 Suntec City/ 3 Temasek Boulevard #B1-143 SPPL B,62 Suntec City/ 3 Temasek Boulevard #B1-143 SPPL Branch - Suntec City 038983,,,,038983,Branch
73,63 Tampines Mart/ 11 Tampines Street 32 #01-03 SPP,63 Tampines Mart/ 11 Tampines Street 32 #01-03 SPPL Branch - Tampines Mart 529287,,,,529287,Branch
74,64 Block 481 Tampines Street 44 #01-277 SPPL Branc,64 Block 481 Tampines Street 44 #01-277 SPPL Branch - Tampines N4 520481,,,,520481,Branch
75,65 Block 1 Tanjong Pagar Plaza #01-49/50 SPPL Bran,65 Block 1 Tanjong Pagar Plaza #01-49/50 SPPL Branch - Tanjong Pagar 082001,,,,082001,Branch
76,66 Block 37 Teban Gardens Road #01-308 SPPL Branch,66 Block 37 Teban Gardens Road #01-308 SPPL Branch - Teban Gardens 600037,,,,600037,Branch
77,67 Block 141 Teck Whye Lane #01-271 SPPL Branch - ,67 Block 141 Teck Whye Lane #01-271 SPPL Branch - Teck Whye 680141,,,,680141,Branch
78,68 Block 6 Telok Blangah Crescent #01-418 SPPL Bra,68 Block 6 Telok Blangah Crescent #01-418 SPPL Branch - Telok Blangah 090006,,,,090006,Branch
79,69 Block 111 Toa Payoh Lorong 1 #01-354 SPPL Branc,69 Block 111 Toa Payoh Lorong 1 #01-354 SPPL Branch - Toa Payoh Lorong 1 310111,,,,310111,Branch
80,70 Block 85 Toa Payoh Lorong 4 #01-340 SPPL Branch,70 Block 85 Toa Payoh Lorong 4 #01-340 SPPL Branch - Toa Payoh Lorong 4 310085,,,,310085,Branch
81,71 Block 212 Toa Payoh Lorong 8 #01-39 SPPL Branch,71 Block 212 Toa Payoh Lorong 8 #01-39 SPPL Branch - Toa Payoh Lorong 8 310212,,,,310212,Branch
82,72 Block 18 Upper Boon Keng Road #01-1149/1151 SPP,72 Block 18 Upper Boon Keng Road #01-1149/1151 SPPL Branch - Upper Boon Keng 380018,,,,380018,Branch
83,73 Block 88 Whampoa Drive #01-857 SPPL Branch - Wh,73 Block 88 Whampoa Drive #01-857 SPPL Branch - Whampoa Drive 320088,,,,320088,Branch
84,74 888 Plaza/ 888 Woodlands Drive 50 #01-711 SPPL ,74 888 Plaza/ 888 Woodlands Drive 50 #01-711 SPPL Branch - Woodlands 888 730888,,,,730888,Branch
85,75 Block 305 Woodlands Street 31 #01-77 SPPL Branc,75 Block 305 Woodlands Street 31 #01-77 SPPL Branch - Woodlands N3 730305,,,,730305,Branch
86,76 Vista Point/ 548 Woodlands Drive 44 #02-04 SPPL,76 Vista Point/ 548 Woodlands Drive 44 #02-04 SPPL Branch - Woodlands N5 730548,,,,730548,Branch
87,77 Block 883 Woodlands Street 82 #02-468 SPPL Bran,77 Block 883 Woodlands Street 82 #02-468 SPPL Branch - Woodlands N8 730883,,,,730883,Branch
