outlet_name,detail_url,group1_wins,group2_wins,combined_wins
Prime Keat Hong,https://www.singaporepools.com.sg/outlets/Pages/lo_details.aspx?sppl=b2lkPTY4MDk%3d,4,20,24
NTUC FairPrice Yung Kuang Road,https://www.singaporepools.com.sg/outlets/Pages/lo_details.aspx?sppl=b2lkPTYxMDE%3d,4,15,19
NTUC FairPrice Yew Tee Point,https://www.singaporepools.com.sg/outlets/Pages/lo_details.aspx?sppl=b2lkPTY4MDM%3d,4,34,38
NTUC FairPrice Woodlands Civic Centre,https://www.singaporepools.com.sg/outlets/Pages/lo_details.aspx?sppl=b2lkPTczMTE%3d,4,30,34
NTUC FairPrice Thomson Plaza,https://www.singaporepools.com.sg/outlets/Pages/lo_details.aspx?sppl=b2lkPTU3MDU%3d,4,37,41
NTUC FairPrice Tampines Street 83,https://www.singaporepools.com.sg/outlets/Pages/lo_details.aspx?sppl=b2lkPTUyMTQ%3d,4,21,25
NTUC FairPrice Tampines Street 44,https://www.singaporepools.com.sg/outlets/Pages/lo_details.aspx?sppl=b2lkPTUyMDE%3d,4,15,19
NTUC FairPrice Rivervale Mall,https://www.singaporepools.com.sg/outlets/Pages/lo_details.aspx?sppl=b2lkPTU0MDE%3d,4,13,17
NTUC FairPrice Punggol Oasis Terraces,https://www.singaporepools.com.sg/outlets/Pages/lo_details.aspx?sppl=b2lkPTgyMDc%3d,4,20,24
NTUC FairPrice Parkway Parade,https://www.singaporepools.com.sg/outlets/Pages/lo_details.aspx?sppl=b2lkPTQ0MDY%3d,4,25,29
NTUC FairPrice Marine Parade Central,https://www.singaporepools.com.sg/outlets/Pages/lo_details.aspx?sppl=b2lkPTQ0MDI%3d,4,12,16
NTUC FairPrice Limbang Shopping Centre,https://www.singaporepools.com.sg/outlets/Pages/lo_details.aspx?sppl=b2lkPTY4MDQ%3d,4,20,24
NTUC FairPrice E!Hub @ Downtown East,https://www.singaporepools.com.sg/outlets/Pages/lo_details.aspx?sppl=b2lkPTUxMDU%3d,4,15,19
NTUC FairPrice Clementi Avenue 2,https://www.singaporepools.com.sg/outlets/Pages/lo_details.aspx?sppl=b2lkPTEyMTE%3d,4,19,23
Ng Nam Thye Trading - Ang Mo Kio Avenue 3,https://www.singaporepools.com.sg/outlets/Pages/lo_details.aspx?sppl=b2lkPTU2MTA%3d,4,28,32
Lim Heng Ee Trading Pte. Ltd.,https://www.singaporepools.com.sg/outlets/Pages/lo_details.aspx?sppl=b2lkPTM4MDE%3d,4,17,21
