outlet_name,postal_code,outlet_type,group1_wins,group2_wins,combined_wins,source,latitude,longitude,onemap_address,planning_area,region,geocode_status,res_area_500m,com_area_500m,mixed_area_500m,inst_area_500m,open_area_500m,hdb_blocks_500m,rc_ratio_500m,res_area_1000m,com_area_1000m,mixed_area_1000m,inst_area_1000m,open_area_1000m,hdb_blocks_1000m,rc_ratio_1000m,res_area_1500m,com_area_1500m,mixed_area_1500m,inst_area_1500m,open_area_1500m,hdb_blocks_1500m,rc_ratio_1500m,neighborhood_type,dominant_landuse_1000m,landuse_diversity_1000m,win_rate_hdb_1000m
Cheers Hougang Avenue 3,530023,Authorised Retailer,4,15,19,matched,1.36486666416769,103.890727960772,23 HOUGANG AVENUE 3 HOUGANG VIEW SINGAPORE 530023,HOUGANG,NORTH-EAST REGION,OK,548022,0,5246,99658,14700,46,0.9953,1728843,324786,151972,201626,110785,192,0.8183,3244153,1302081,159561,383479,440269,415,0.7063,residential,residential,5,0.098958
7-Eleven Store Plaza Singapura,238839,Authorised Retailer (7-Eleven),4,22,26,matched,1.30082071769235,103.845067272666,68 ORCHARD ROAD GOLDEN VILLAGE (GV PLAZA) SINGAPORE 238839,MUSEUM,CENTRAL REGION,OK,138909,111896,39662,451630,20454,0,0.5465,675406,413598,157306,668735,333755,19,0.605,1731049,1180904,275701,959910,543155,53,0.5863,mixed,residential,5,1.368421
7-Eleven Store Foch Road,209264,Authorised Retailer (7-Eleven),4,13,17,matched,1.31270184017357,103.859968759019,27 FOCH ROAD HOA NAM BUILDING SINGAPORE 209264,KALLANG,CENTRAL REGION,OK,243150,209984,9383,50104,38968,24,0.5359,952862,749544,70464,169631,153040,143,0.5573,2448542,1170599,183381,440660,383497,323,0.668,mixed,residential,5,0.118881
7-Eleven Store Bedok North Street 2,460123,Authorised Retailer (7-Eleven),4,23,27,matched,1.32919868667839,103.937343347878,123 BEDOK NORTH STREET 2 SINGAPORE 460123,BEDOK,EAST REGION,OK,405134,0,37141,17592,48254,74,0.958,1727898,32867,215160,234775,153490,281,0.9289,3634751,551337,326969,384182,373698,415,0.8416,residential,residential,5,0.096085
Tan Ah Leck Trading - Jurong East Street 31,600352,Authorised Retailer,3,7,10,matched,1.34492289474517,103.730400848037,352 JURONG EAST STREET 31 YUHUA PLACE SINGAPORE 600352,JURONG EAST,WEST REGION,OK,363418,0,43091,65516,225945,41,0.947,899033,0,128848,206545,556787,143,0.9373,2854151,4879,181715,608707,1412485,446,0.9685,residential,residential,4,0.06993
Superbowl Jurong Pte Ltd,618642,Authorised Retailer,3,27,30,matched,1.32554465969069,103.725574633362,3 YUAN CHING ROAD SINGAPORE 618642,JURONG WEST,WEST REGION,OK,151852,200561,29936,54081,0,18,0.4363,758700,1085481,29936,121822,44965,60,0.4128,1148143,2506844,69177,200429,717456,130,0.3176,mixed,commercial,5,0.5
Singapore Pools Woodlands N8 Branch,730883,Branch,3,40,43,matched,1.44275334327795,103.790548015512,883 WOODLANDS STREET 82 WOODLANDS NORTH PLAZA SINGAPORE 730883,WOODLANDS,NORTH REGION,OK,312871,95182,11561,280023,40401,87,0.7594,1050880,581400,41490,351617,187099,257,0.6402,2769907,1355985,107474,574881,546770,577,0.667,mixed,residential,5,0.167315
Singapore Pools Upper Boon Keng Branch,380018,Branch,3,33,36,matched,1.31480351462869,103.872301458156,18 UPPER BOON KENG ROAD BOON KENG VILLE SINGAPORE 380018,KALLANG,CENTRAL REGION,OK,410824,33762,1961,59680,35651,45,0.9222,872804,790696,3689,73570,116416,95,0.5246,1861545,1546370,63036,287741,763366,236,0.5454,mixed,residential,5,0.378947
Singapore Pools Telok Blangah Branch,090006,Branch,3,24,27,matched,1.27814081311562,103.818484019328,6 TELOK BLANGAH CRESCENT MOUNT FABER GREEN SINGAPORE 090006,BUKIT MERAH,CENTRAL REGION,OK,161904,73616,7841,78762,58861,35,0.6814,936633,221551,82159,205072,1193933,174,0.7883,2792741,519579,143838,488039,1385370,385,0.8289,residential,open,5,0.155172
Singapore Pools Peace Centre Branch,228149,,3,17,20,scraped,1.30121862271795,103.849592475825,1 SOPHIA ROAD ONE SOPHIA SINGAPORE 228149,ROCHOR,CENTRAL REGION,OK,181433,151024,52623,104420,48536,14,0.5395,410609,595534,175811,712826,328504,42,0.4218,1308248,1419779,272636,1021433,620131,82,0.4814,mixed,institutional,5,0.47619
Singapore Pools Pasir Ris N7 Branch,510735,Branch,3,34,37,matched,1.37966812044177,103.936574613663,735 PASIR RIS STREET 72 PASIR RIS WEST PLAZA SINGAPORE 510735,PASIR RIS,EAST REGION,OK,386507,135296,13001,91998,13274,97,0.7349,929059,1054303,32965,169042,111204,279,0.4689,1723536,2059923,56801,212912,413365,353,0.4562,mixed,commercial,5,0.132616
Singapore Pools Canberra Branch,750505,Branch,3,30,33,matched,1.45026201889682,103.822534715231,505 CANBERRA LINK MONTREAL SPRING SINGAPORE 750505,SEMBAWANG,NORTH REGION,OK,391737,0,8564,13979,161731,90,0.9893,2069316,34211,8564,237256,228840,273,0.9818,3529520,463901,44544,306840,320212,380,0.8796,residential,residential,5,0.120879
Singapore Pools Ang Mo Kio N2A Branch,561226,Branch,3,32,35,matched,1.36749458006861,103.839283930528,226A ANG MO KIO AVENUE 1 KEBUN BARU MALL SINGAPORE 561226,ANG MO KIO,NORTH-EAST REGION,OK,373292,0,17410,72915,172849,61,0.9777,1467963,105647,179893,281740,267119,222,0.8885,3186993,297383,282632,566679,878486,414,0.8835,residential,residential,5,0.157658
Prime Yishun Avenue 6,760461,Authorised Retailer,3,3,6,matched,1.42841338853064,103.84997365333,461 YISHUN AVENUE 6 BLOSSOM SPRING @ YISHUN SINGAPORE 760461,YISHUN,NORTH REGION,OK,432524,0,0,72427,29986,104,1.0,1255538,4918,51124,157432,257399,247,0.9768,2008284,115959,98706,315150,383506,390,0.9256,residential,residential,5,0.024291
Papillon Florist Pte Ltd,160133,Authorised Retailer,3,12,15,matched,1.27955093259631,103.82740093837,133 JALAN BUKIT MERAH SINGAPORE 160133,BUKIT MERAH,CENTRAL REGION,OK,442768,64064,6898,28220,23044,87,0.8686,1670224,240394,39712,359391,104228,260,0.8666,2543038,444091,108302,716395,1050060,404,0.839,residential,residential,5,0.057692
NTUC FP Century Square,529509,,3,4,7,scraped,1.35236829566862,103.943812302253,2 TAMPINES CENTRAL 5 CENTURY SQUARE SINGAPORE 529509,TAMPINES,EAST REGION,OK,294345,169877,35313,38160,116828,62,0.6246,1562713,169877,87048,292128,312584,314,0.8827,3572521,347428,251320,788656,570589,754,0.8866,residential,residential,5,0.022293
NTUC FairPrice Tampines Street 11,521107,Authorised Retailer (FairPrice),3,10,13,matched,1.34836421842072,103.948158723814,107 TAMPINES STREET 11 SINGAPORE 521107,TAMPINES,EAST REGION,OK,485200,0,49225,87920,54397,66,0.9539,1592722,270267,129050,272190,212804,271,0.8319,3509238,608565,152946,563196,428462,598,0.8396,residential,residential,5,0.04797
NTUC FairPrice Senja Road,670628,Authorised Retailer (FairPrice),3,10,13,matched,1.38512867383046,103.760410617887,628 SENJA ROAD SENJA CENTRE SINGAPORE 670628,BUKIT PANJANG,WEST REGION,OK,560731,3916,0,51639,35694,95,0.9931,1294613,15415,80215,264506,118166,249,0.9601,2539902,297787,125943,495909,436211,482,0.8783,residential,residential,5,0.052209
NTUC FairPrice Seletar Mall,797653,Authorised Retailer (FairPrice),3,18,21,matched,1.39130622992517,103.876085067727,33 SENGKANG WEST AVENUE SHAW THEATRES SELETAR SINGAPORE 797653,SENGKANG,NORTH-EAST REGION,OK,435952,9253,0,76410,37766,127,0.9792,1537848,117340,41450,169108,119444,246,0.9186,2734140,477904,79749,488617,471670,375,0.8427,residential,residential,5,0.085366
NTUC FairPrice New Upper Changi Road,461057,Authorised Retailer (FairPrice),3,27,30,matched,1.32424554153984,103.941568704132,57 NEW UPPER CHANGI ROAD SINGAPORE 461057,BEDOK,EAST REGION,OK,582172,0,30407,32812,25031,52,0.9752,2088361,0,91806,113196,162684,198,0.9789,3640692,487933,308732,428720,290273,298,0.8553,residential,residential,4,0.151515
NTUC FairPrice Kallang Wave Mall,397628,Authorised Retailer (FairPrice),3,14,17,matched,1.30307515150401,103.873149707591,1 STADIUM PLACE KALLANG WAVE MALL SINGAPORE 397628,KALLANG,CENTRAL REGION,OK,0,58347,0,7166,417064,0,0.0,327424,207116,1961,13118,789008,12,0.6121,1306957,708443,54110,192690,1315270,131,0.6446,mixed,open,5,1.416667
NTUC FairPrice Kallang Bahru,330071,Authorised Retailer (FairPrice),3,14,17,matched,1.3209929422065,103.870389998344,71 KALLANG BAHRU SINGAPORE 330071,KALLANG,CENTRAL REGION,OK,391582,31496,0,48192,38657,43,0.9256,1055640,693227,13589,145101,80559,126,0.6028,2263776,1551485,54246,441228,209162,271,0.592,mixed,residential,5,0.134921
NTUC FairPrice Hougang Mall,538766,Authorised Retailer (FairPrice),3,30,33,matched,1.37253315637342,103.893883460466,90 HOUGANG AVENUE 10 CHENG SAN LIBRARY SINGAPORE 538766,HOUGANG,NORTH-EAST REGION,OK,336276,24019,45723,50653,13862,90,0.8845,1732288,24019,45723,211111,309812,288,0.974,3095412,819349,126427,685345,434495,555,0.7816,residential,residential,5,0.114583
NTUC FairPrice Hillion Mall,678278,Authorised Retailer (FairPrice),3,27,30,matched,1.37843100800213,103.762842789877,17 PETIR ROAD BUKIT PANJANG INTEGRATED TRANSPORT HUB SINGAPORE 678278,BUKIT PANJANG,WEST REGION,OK,320502,11499,61364,32639,22961,63,0.8928,1713375,15415,73830,104959,138910,264,0.971,3033423,18647,156363,651703,459998,498,0.9698,residential,residential,5,0.113636
NTUC FairPrice Eastpoint Mall,528833,Authorised Retailer (FairPrice),3,39,42,matched,1.34270592355576,103.953024618234,3 SIMEI STREET 6 EASTPOINT MALL SINGAPORE 528833,TAMPINES,EAST REGION,OK,602181,15710,0,51143,27281,65,0.9746,1592576,218238,49225,354754,108170,154,0.8694,2749304,924342,110628,758949,237873,325,0.7411,residential,residential,5,0.272727
NTUC FairPrice Bukit Panjang Plaza,677743,Authorised Retailer (FairPrice),3,32,35,matched,1.37948804026655,103.764594965051,1 JELEBU ROAD BUKIT PANJANG LIBRARY SINGAPORE 677743,BUKIT PANJANG,WEST REGION,OK,379129,11499,61364,27709,57524,87,0.9067,1720204,18647,117139,120827,145558,321,0.9584,3027242,18647,156363,623179,555202,515,0.9698,residential,residential,5,0.109034
Kwek Lee Eng Agency,199018,Authorised Retailer,3,24,27,matched,1.30397881313463,103.861554245252,200 JALAN SULTAN HOPE CHURCH SINGAPORE SINGAPORE 199018,KALLANG,CENTRAL REGION,OK,155983,183933,54273,78891,45571,44,0.4645,357664,660222,126946,134779,229130,72,0.3679,1096988,1702724,204029,287733,448113,134,0.3992,mixed,commercial,5,0.375
Hougang United Football Club,538856,,3,5,8,scraped,1.36949523794775,103.885957512282,100 HOUGANG AVENUE 2 HOUGANG STADIUM SINGAPORE 538856,HOUGANG,NORTH-EAST REGION,OK,353672,0,0,38004,77214,70,1.0,1809317,24019,67734,268729,167187,251,0.9696,4074030,141459,231422,797135,251750,588,0.9422,residential,residential,5,0.031873
Giant Pioneer Mall,640638,Authorised Retailer,3,29,32,matched,1.34169239214292,103.697174842118,638 JURONG WEST STREET 61 PIONEER MALL SINGAPORE 640638,JURONG WEST,WEST REGION,OK,445120,3117,10155,35631,66823,134,0.9821,1757660,151935,73345,208650,131022,427,0.9049,2496018,1180956,100619,480805,362883,537,0.6741,residential,residential,5,0.074941
Giant Paya Lebar Square,409051,,3,26,29,scraped,1.31881487007651,103.892580778514,60 PAYA LEBAR ROAD PAYA LEBAR SQUARE SINGAPORE 409051,GEYLANG,CENTRAL REGION,OK,124827,265230,0,29144,12689,1,0.32,1211338,573355,70685,94786,51959,130,0.6719,3054691,1170387,72369,558509,114001,323,0.7192,residential,residential,5,0.223077
Giant Compassvale Bow,540266,,3,18,21,scraped,1.38199703112006,103.897031077664,266 COMPASSVALE BOW SENGKANG TOWN COUNCIL (SENGKANG OFFICE) SINGAPORE 540266,SENGKANG,NORTH-EAST REGION,OK,435639,0,37256,84167,32125,105,0.9606,1738211,32400,52607,219815,255529,377,0.9678,3224744,346960,164478,653281,389894,712,0.8851,residential,residential,5,0.055703
Everbright  Services,100108,Authorised Retailer,3,21,24,matched,1.28084469467756,103.810292618353,108 DEPOT ROAD DEPOT HEIGHTS SHOPPING CENTRE SINGAPORE 100108,BUKIT MERAH,CENTRAL REGION,OK,178849,110802,0,25979,443586,35,0.6175,782510,348308,106643,208552,558870,172,0.6754,2680922,937525,166322,515595,1473600,308,0.7303,residential,residential,5,0.139535
7-Eleven Store Sin Ming,574369,Authorised Retailer (7-Eleven),3,16,19,matched,1.35327556197146,103.834836368264,244 UPPER THOMSON ROAD THOMSON GARDEN ESTATE SINGAPORE 574369,BISHAN,CENTRAL REGION,OK,366654,70503,11473,32956,13718,11,0.8301,1096694,415418,11473,234993,47978,49,0.7236,2992336,424655,48726,612731,354671,133,0.8704,residential,residential,5,0.387755
7-Eleven Store Circular Road,049413,Authorised Retailer (7-Eleven),3,12,15,matched,1.28606946719614,103.84924456163,58 CIRCULAR ROAD BOAT QUAY CONSERVATION AREA SINGAPORE 049413,SINGAPORE RIVER,CENTRAL REGION,OK,0,273881,20798,44671,73360,8,0.0353,60260,799065,104097,229846,548933,23,0.1166,475828,1486299,230506,473724,851510,65,0.2696,commercial,commercial,5,0.652174
7-Eleven Big Mac Centre,569922,Authorised Retailer,3,1,4,matched,1.36929729654979,103.84715944541,51 ANG MO KIO AVENUE 3 51 @ AMK SINGAPORE 569922,ANG MO KIO,NORTH-EAST REGION,OK,366103,19300,108154,8873,17265,91,0.8513,1592959,19300,228174,155461,559198,270,0.9275,3299366,204060,380365,979822,924221,527,0.8985,residential,residential,5,0.014815
Yeo Kean Fatt Dept Store,460017,Authorised Retailer,2,6,8,matched,1.32014883000628,103.935563486677,17 BEDOK SOUTH ROAD SINGAPORE 460017,BEDOK,EAST REGION,OK,346249,56079,24258,84635,46011,48,0.8401,1555382,387331,172696,128709,130147,146,0.7761,3792745,426008,299990,392609,462586,307,0.8725,residential,residential,5,0.054795
Tampines Trading - 824,520824,Authorised Retailer,2,20,22,matched,1.34903743516549,103.932714940894,824 TAMPINES STREET 81 SINGAPORE 520824,TAMPINES,EAST REGION,OK,422947,0,49837,371457,29609,90,0.9473,1278588,4495,73733,455206,145506,269,0.9695,2140528,692158,125468,682755,852924,439,0.7448,residential,residential,5,0.081784
Singapore Pools Yishun N4 Branch,760415,Branch,2,35,37,matched,1.42444263730394,103.845870092641,415 YISHUN AVENUE 11 SINGAPORE 760415,YISHUN,NORTH REGION,OK,526689,4918,51124,80516,170424,105,0.9477,1679755,4918,99773,254514,322766,347,0.9693,2656589,80779,195662,410557,469948,552,0.9391,residential,residential,5,0.106628
Singapore Pools Toa Payoh Lorong 4 Branch,310085,Branch,2,19,21,matched,1.33628536216028,103.848428644103,85 LORONG 4 TOA PAYOH SINGAPORE 310085,TOA PAYOH,CENTRAL REGION,OK,560191,99794,45015,48197,27898,127,0.8265,1523291,255633,45015,291511,271542,265,0.8475,3051924,503322,145235,872671,408019,491,0.8444,residential,residential,5,0.079245
Singapore Pools Northpoint City Branch,769098,Branch,2,15,17,matched,1.42946660837667,103.835790714459,930 YISHUN AVENUE 2 NORTHPOINT CITY (NORTH WING) SINGAPORE 769098,YISHUN,NORTH REGION,OK,351355,14894,79431,51094,61080,78,0.8775,1371779,16937,172486,357443,215204,345,0.9339,2964001,503679,279932,524027,459526,617,0.8283,residential,residential,5,0.049275
Singapore Pools Lorong Lew Lian Branch,531002,Branch,2,22,24,matched,1.35060795612848,103.875680063863,2 LORONG LEW LIAN LEW LIAN GARDENS SINGAPORE 531002,SERANGOON,NORTH-EAST REGION,OK,469141,19983,28901,46346,15719,49,0.9335,1896161,19983,121062,210972,132419,162,0.9605,4311579,80126,152966,687451,327243,272,0.9655,residential,residential,5,0.148148
Singapore Pools Lengkok Bahru Branch,152063,Branch,2,19,21,matched,1.28907506834277,103.815318433481,63B LENGKOK BAHRU LENGKOK BAHRU HEIGHTS SINGAPORE 152063,BUKIT MERAH,CENTRAL REGION,OK,326641,87296,20719,102511,24334,51,0.7753,1301627,387944,85048,297351,235956,178,0.7574,3068228,671035,162293,490958,681762,378,0.8072,residential,residential,5,0.117978
Singapore Pools Jalan Batu Branch,431007,Branch,2,20,22,matched,1.30237002555566,103.88359641393,7 JALAN BATU DI TANJONG RHU SINGAPORE 431007,KALLANG,CENTRAL REGION,OK,324215,3808,0,74415,55425,22,0.9884,1191105,44099,0,169505,659286,76,0.9643,2342952,335895,3412,195750,1211293,81,0.8741,residential,residential,4,0.289474
Singapore Pools Geylang Rd Branch,389233,,2,6,8,scraped,1.31130947616377,103.874198645525,149 GEYLANG ROAD GEYLANG CONSERVATION AREA SINGAPORE 389233,KALLANG,CENTRAL REGION,OK,190024,157879,1961,37732,44282,31,0.5459,668505,528179,5373,77239,649128,65,0.5584,1839303,1231318,47428,252442,772397,206,0.5975,mixed,residential,5,0.123077
Singapore Pools Fajar Road Branch,670445,Branch,2,23,25,matched,1.38358032362676,103.770768501474,445 FAJAR ROAD FAJAR SHOPPING CENTRE SINGAPORE 670445,BUKIT PANJANG,WEST REGION,OK,463647,0,12889,95001,53855,102,0.9865,1247814,14731,74729,147526,338975,332,0.961,2273368,18647,117139,246949,1232851,438,0.9679,residential,residential,5,0.075301
Singapore Pools Empress Road Branch,260008,Branch,2,17,19,matched,1.31641190098174,103.805373811937,8 EMPRESS ROAD FARRER GARDENS SINGAPORE 260008,BUKIT TIMAH,CENTRAL REGION,OK,638215,3807,0,8019,2086,10,0.9941,2158483,3807,9277,71658,87223,10,0.9961,4087306,48620,33212,462112,1002496,59,0.9844,residential,residential,5,1.9
Singapore Pools Chai Chee Branch,461036,Branch,2,17,19,matched,1.32534102499628,103.92543538387,36 CHAI CHEE AVENUE ANSAR GARDEN SINGAPORE 461036,BEDOK,EAST REGION,OK,498698,173480,84830,39597,24294,68,0.7148,1520504,466218,222520,127707,82389,189,0.7386,3857897,616046,348483,418612,352733,349,0.8361,residential,residential,5,0.100529
Singapore Pools Bukit Batok N3 Branch,650324,Branch,2,15,17,matched,1.36216472766267,103.747628122263,324 BUKIT BATOK STREET 33 SINGAPORE 650324,BUKIT BATOK,WEST REGION,OK,346021,0,0,103057,108549,99,1.0,1397080,0,109088,153889,482793,183,0.9638,2875675,13499,158892,646122,1180713,420,0.9695,residential,residential,4,0.092896
Singapore Pools Bishan N1 Branch,570152,Branch,2,12,14,matched,1.34565720294218,103.854641447626,152 BISHAN STREET 11 BISHAN GREEN SINGAPORE 570152,BISHAN,CENTRAL REGION,OK,433247,24932,19938,135344,46417,86,0.927,1307361,251005,19938,444027,130268,207,0.8346,3193563,566704,20559,734823,260409,401,0.8474,residential,residential,5,0.067633
Singapore Pools Balestier Road Branch,320002,Branch,2,14,16,matched,1.32589620218837,103.842935480003,2 BALESTIER ROAD BALESTIER HILL SHOPPING CENTRE SINGAPORE 320002,NOVENA,CENTRAL REGION,OK,296458,12730,41481,152873,4006,12,0.9046,1280897,192494,76451,460057,89724,46,0.8511,4277054,332596,153465,669583,335564,202,0.9141,residential,residential,5,0.347826
Sheng Siong Sengkang West Ave,790455,Authorised Retailer,2,15,17,matched,1.39183688254074,103.871190376558,455 SENGKANG WEST AVENUE FERNVALE WOODS SINGAPORE 790455,SENGKANG,NORTH-EAST REGION,OK,383869,224428,20427,55587,34012,95,0.6268,1521989,315440,41450,131371,104309,185,0.8211,2788332,1300118,42208,211718,364994,253,0.6801,residential,residential,5,0.091892
Sheng Siong Marsiling Mall,738623,Authorised Retailer,2,5,7,matched,1.43354318137534,103.77988189197,4 WOODLANDS STREET 12 MARSILING MALL HAWKER CENTRE SINGAPORE 738623,WOODLANDS,NORTH REGION,OK,447972,7067,0,47037,166163,93,0.9845,1506973,188677,51197,228977,247265,250,0.8773,2424253,471260,79197,756647,574137,410,0.8283,residential,residential,5,0.028
Seah Koon Huat (Boon Tiong Rd),161011,,2,11,13,scraped,1.28636578139912,103.828789865335,11A BOON TIONG ROAD TIONG BAHRU VIEW SINGAPORE 161011,BUKIT MERAH,CENTRAL REGION,OK,517718,23978,5392,40244,5568,132,0.9512,1440718,261966,90059,221204,117711,266,0.8288,3349893,428966,183744,761466,332917,373,0.8686,residential,residential,5,0.048872
Seah Geok Eng Agency - Upper Serangoon View,537476,Authorised Retailer,2,18,20,matched,1.37791506138102,103.903623796196,476D UPPER SERANGOON VIEW HOUGANG CAPEVIEW SINGAPORE 537476,HOUGANG,NORTH-EAST REGION,OK,217103,147104,0,40279,25961,29,0.5961,880269,1145908,15351,151031,275024,153,0.4349,2165052,1639314,57893,255747,380277,478,0.5681,mixed,commercial,5,0.130719
S E Store,600352,Authorised Retailer,2,13,15,matched,1.34492289474517,103.730400848037,352 JURONG EAST STREET 31 YUHUA PLACE SINGAPORE 600352,JURONG EAST,WEST REGION,OK,363418,0,43091,65516,225945,41,0.947,899033,0,128848,206545,556787,143,0.9373,2854151,4879,181715,608707,1412485,446,0.9685,residential,residential,4,0.104895
Prime Woodlands,730678,,2,15,17,scraped,1.43998366608733,103.801293104268,678 WOODLANDS AVENUE 6 ADMIRALTY PLACE SINGAPORE 730678,WOODLANDS,NORTH REGION,OK,464199,0,22793,66177,39948,130,0.9766,1646362,227595,52723,247489,143250,392,0.8682,2444193,1175840,79474,373519,245586,572,0.6714,residential,residential,5,0.043367
Prime Joo Seng,360001,Authorised Retailer,2,5,7,matched,1.33429242412799,103.878746207181,1 UPPER ALJUNIED LANE SINGAPORE 360001,TOA PAYOH,CENTRAL REGION,OK,306695,97146,0,321240,15221,23,0.7594,1135817,620053,25441,468670,169883,110,0.6448,2453702,1487438,73172,741311,255406,255,0.6204,mixed,residential,5,0.063636
Prime Compassvale Street,540263,Authorised Retailer,2,23,25,matched,1.39484816528775,103.896042268385,263 COMPASSVALE STREET COMPASSVALE NORTH GATE SINGAPORE 540263,SENGKANG,NORTH-EAST REGION,OK,363063,17465,27086,166459,41593,97,0.9239,1805123,17465,36764,379365,123511,426,0.9807,3659614,50604,141897,645552,436908,914,0.9684,residential,residential,5,0.058685
Prime Admiralty Place,731678,Authorised Retailer,2,15,17,matched,1.44054545356313,103.801759723219,678A WOODLANDS AVENUE 6 MULTI STOREY CAR PARK SINGAPORE 731678,WOODLANDS,NORTH REGION,OK,568369,0,22793,36909,39948,133,0.9807,1560765,269569,52723,247489,143250,382,0.8428,2310973,1288954,79474,356149,252658,556,0.6389,residential,residential,5,0.044503
Precise Optics,179098,,2,13,15,scraped,1.29222075807721,103.850612609298,111 NORTH BRIDGE ROAD CONSULATE OF NEPAL SINGAPORE 179098,DOWNTOWN CORE,CENTRAL REGION,OK,0,161545,0,138144,366207,0,0.0,64716,881544,134627,345894,522683,14,0.1221,673528,1575003,293754,494144,733023,49,0.3227,commercial,commercial,5,1.071429
NTUC FP Shaw Plaza,329783,,2,3,5,scraped,1.32525301846661,103.850995830211,360 BALESTIER ROAD SINGAPORE 329783,NOVENA,CENTRAL REGION,OK,465536,36096,60735,25865,5804,12,0.8818,1295656,186601,148697,413601,243536,164,0.84,3436758,370218,154805,707116,349304,435,0.887,residential,residential,5,0.030488
NTUC FP Jurong Point,648886,,2,24,26,scraped,1.3394520043632,103.706685012926,1 JURONG WEST CENTRAL 2 GOLDEN VILLAGE (GV JURONG POINT) SINGAPORE 648886,JURONG WEST,WEST REGION,OK,340270,67785,60340,7689,140652,65,0.7909,1041344,895052,92984,179504,182711,253,0.536,2320950,2240488,112503,391113,311823,497,0.5086,mixed,residential,5,0.102767
NTUC FairPrice Tiong Bahru Plaza,168732,Authorised Retailer (FairPrice),2,23,25,matched,1.28646345355064,103.826935079694,302 TIONG BAHRU ROAD GOLDEN VILLAGE (GV TIONG BAHRU) SINGAPORE 168732,BUKIT MERAH,CENTRAL REGION,OK,465283,15386,5392,38319,35471,103,0.9628,1507640,291578,108675,203540,92422,279,0.8187,3320662,425577,155864,874811,331866,387,0.871,residential,residential,5,0.089606
NTUC FairPrice The Woodleigh Mall,367803,Authorised Retailer (FairPrice),2,18,20,matched,1.33869419209869,103.871750105256,11 BIDADARI PARK DRIVE BIDADARI COMMUNITY CENTRE SINGAPORE 367803,TOA PAYOH,CENTRAL REGION,OK,358004,0,25441,63736,132981,57,0.9668,1553009,2427,62410,519860,167722,161,0.9792,2998331,655735,116998,787897,242954,240,0.8106,residential,residential,5,0.124224
NTUC FairPrice Telok Blangah Street 32,101078,Authorised Retailer (FairPrice),2,9,11,matched,1.27338751489362,103.808980553946,78A TELOK BLANGAH STREET 32 MULTI STOREY CAR PARK SINGAPORE 101078,BUKIT MERAH,CENTRAL REGION,OK,449548,0,25938,55327,5972,68,0.9727,1173989,111532,25938,65405,486326,97,0.9051,1604662,742400,89910,205793,1609047,157,0.6769,residential,residential,5,0.113402
NTUC FairPrice Tai Seng,539775,Authorised Retailer (FairPrice),2,16,18,matched,1.33631557522577,103.888825620348,18 TAI SENG STREET 18 TAI SENG SINGAPORE 539775,HOUGANG,NORTH-EAST REGION,OK,12672,495283,0,22643,4916,0,0.0249,490447,1405485,0,114535,30175,49,0.2587,1602105,2554496,10093,656065,100838,171,0.3857,commercial,commercial,4,0.367347
NTUC FairPrice Sengkang East Ave,540279,Authorised Retailer (FairPrice),2,10,12,matched,1.38621835522425,103.89299549602,279 SENGKANG EAST AVENUE COMPASSVALE ANCILLA SINGAPORE 540279,SENGKANG,NORTH-EAST REGION,OK,485973,25149,37256,34300,23395,120,0.9202,1610897,171329,80867,429941,105802,402,0.8863,3429776,175836,157054,882982,428465,819,0.9324,residential,residential,5,0.029851
NTUC FairPrice Punggol Plaza,820168,Authorised Retailer (FairPrice),2,36,38,matched,1.39423719717117,103.913047323223,168 PUNGGOL FIELD PUNGGOL PLAZA SINGAPORE 820168,PUNGGOL,NORTH-EAST REGION,OK,469070,7910,26592,146896,39395,94,0.9579,1585139,21180,49128,263731,185688,373,0.9724,2903001,1392869,49128,421198,411123,666,0.6738,residential,residential,5,0.101877
NTUC FairPrice Le Quest,657991,Authorised Retailer (FairPrice),2,8,10,matched,1.35594171176111,103.741127005764,4 BUKIT BATOK STREET 41 LE QUEST SINGAPORE 657991,BUKIT BATOK,WEST REGION,OK,548193,0,14697,96947,17213,86,0.9869,1497906,0,164545,339273,254387,313,0.9505,3308369,48261,247154,611461,872680,601,0.9523,residential,residential,4,0.031949
NTUC FairPrice Dawson Place,142057,Authorised Retailer (FairPrice),2,18,20,matched,1.29270339855062,103.810958956467,57 DAWSON ROAD DAWSON PLACE SINGAPORE 142057,QUEENSTOWN,CENTRAL REGION,OK,241707,179612,0,53686,26364,64,0.5737,1437882,350061,21638,302710,118331,198,0.8006,3563409,522622,132543,588992,295726,306,0.8604,residential,residential,5,0.10101
Lee Ah Lan Trading,600061,,2,8,10,scraped,1.32213636287766,103.738292803395,61 TEBAN GARDENS ROAD MULTI STOREY CAR PARK-TEBAN PLACE SINGAPORE 600061,JURONG EAST,WEST REGION,OK,604869,59684,10924,20089,54515,42,0.9036,662541,183804,25539,105859,61915,47,0.7745,876306,1252058,81480,181079,386221,69,0.415,residential,residential,5,0.212766
Holland Drive Betting Centre – Lottery Lobby (Public),270047,Betting Centre,2,7,9,matched,1.30853249504926,103.792385082436,47 HOLLAND DRIVE SINGAPORE 270047,QUEENSTOWN,CENTRAL REGION,OK,279113,190063,36967,15740,78986,45,0.588,1583040,375179,57215,154703,145070,132,0.7997,3850551,546936,63284,483989,299442,192,0.8703,residential,residential,5,0.068182
