outlet_name,postal_code,outlet_type,group1_wins,group2_wins,combined_wins,source,latitude,longitude,onemap_address,planning_area,region,geocode_status,res_area_500m,com_area_500m,mixed_area_500m,inst_area_500m,open_area_500m,hdb_blocks_500m,rc_ratio_500m,res_area_1000m,com_area_1000m,mixed_area_1000m,inst_area_1000m,open_area_1000m,hdb_blocks_1000m,rc_ratio_1000m,res_area_1500m,com_area_1500m,mixed_area_1500m,inst_area_1500m,open_area_1500m,hdb_blocks_1500m,rc_ratio_1500m,neighborhood_type,dominant_landuse_1000m,landuse_diversity_1000m,win_rate_hdb_1000m
Singapore Pools Anchorvale Road Branch,540308,Branch,7,25,32,matched,1.38955848510235,103.886426650492,308 ANCHORVALE ROAD MULTI STOREY CAR PARK SINGAPORE 540308,SENGKANG,NORTH-EAST REGION,OK,358930,0,0,45906,19745,75,1.0,1051196,164079,38299,427100,197219,296,0.8538,3048134,185090,119166,897132,516729,725,0.927,residential,residential,5,0.108108
Seah Koon Huat - Bukit Merah View,151116,Authorised Retailer,7,29,36,matched,1.28513427067055,103.821532226321,116 BUKIT MERAH VIEW SINGAPORE 151116,BUKIT MERAH,CENTRAL REGION,OK,361396,94923,67739,37985,63730,60,0.7542,1470278,205181,95317,255412,159693,256,0.8572,3060644,592252,174454,622892,699780,453,0.8225,residential,residential,5,0.140625
Prime Punggol Field,820108,Authorised Retailer,7,26,33,matched,1.39649861628108,103.908866307025,108 PUNGGOL FIELD SINGAPORE 820108,PUNGGOL,NORTH-EAST REGION,OK,544185,0,0,75622,38424,148,1.0,1847169,21180,49128,310550,149155,494,0.9761,3501639,25687,138148,516789,549866,829,0.9741,residential,residential,5,0.066802
NTUC FairPrice Tanjong Pagar Plaza,081005,Authorised Retailer (FairPrice),7,22,29,matched,1.27624052001347,103.843006115698,5 TANJONG PAGAR PLAZA SINGAPORE 081005,OUTRAM,CENTRAL REGION,OK,152531,218874,30056,29815,25252,36,0.4174,322035,578995,95367,214961,182957,60,0.3711,755213,942532,123894,456868,345083,118,0.4486,mixed,commercial,5,0.483333
NTUC FairPrice Bukit Merah Central,150166,Authorised Retailer (FairPrice),7,33,40,matched,1.28309262574973,103.817667202598,166 BUKIT MERAH CENTRAL SINGAPORE 150166,BUKIT MERAH,CENTRAL REGION,OK,139250,129793,42491,96793,24339,39,0.5152,1060553,320018,82995,304577,588884,192,0.753,2685344,676165,160394,552278,1430031,466,0.7852,residential,residential,5,0.208333
Metro Woodlands,738099,Authorised Retailer,7,29,36,matched,1.4360700650803,103.785981524253,1 WOODLANDS SQUARE CAUSEWAY POINT SINGAPORE 738099,WOODLANDS,NORTH REGION,OK,190041,102399,0,18587,14762,54,0.6498,1408656,230595,21560,381896,302296,296,0.8547,3121656,532226,121345,759403,546941,595,0.843,residential,residential,5,0.121622
Livewire (Resorts World Sentosa),098138,,7,35,42,scraped,1.2570386446855,103.822038714405,26 SENTOSA GATEWAY SHOWPLACE (RESORTS WORLD SENTOSA) SINGAPORE 098138,SOUTHERN ISLANDS,CENTRAL REGION,OK,0,0,0,0,17489,0,0.5,0,513140,0,8504,741475,0,0.0,259112,726567,1338,102564,1031059,1,0.2632,commercial,open,3,0.0
Kis Store,500004,Authorised Retailer,7,23,30,matched,1.38909635615366,103.98746284567,4 CHANGI VILLAGE ROAD SINGAPORE 500004,CHANGI,EAST REGION,OK,48051,7044,48160,28350,151097,7,0.6986,119287,7044,48160,28350,813694,7,0.8216,119287,73374,48160,28350,836124,7,0.5953,residential,open,5,4.285714
Clifford Gift Shop,560532,Authorised Retailer,7,48,55,matched,1.37380851539559,103.854594160601,532 ANG MO KIO AVENUE 10 CHENG SAN CENTRE SINGAPORE 560532,ANG MO KIO,NORTH-EAST REGION,OK,756508,0,38897,160862,11062,70,0.9755,1394848,317150,179697,532123,102974,178,0.7848,2849905,690104,236955,850019,553774,305,0.7859,residential,residential,5,0.308989
Cheers Changi Village Road,500004,Authorised Retailer,7,39,46,matched,1.38909635615366,103.98746284567,4 CHANGI VILLAGE ROAD SINGAPORE 500004,CHANGI,EAST REGION,OK,48051,7044,48160,28350,151097,7,0.6986,119287,7044,48160,28350,813694,7,0.8216,119287,73374,48160,28350,836124,7,0.5953,residential,open,5,6.571429
