outlet_name,address,postal_code,outlet_type,group1_wins,group2_wins,combined_wins,source,latitude,longitude,onemap_address,planning_area,x_svy21,y_svy21,geocode_status,proxy_500m,proxy_750m,proxy_1000m,proxy_1500m,area_type,region,pa_hdb_units,win_rate_1000m
NTUC FairPrice Jurong Gateway Road,NTUC FairPrice Jurong Gateway RoadBlock 135 Jurong Gateway Road #01-337 Singapore 600135,600135,Authorised Retailer (FairPrice),11,46,57,matched,1.33375343883095,103.739371388475,135 JURONG GATEWAY ROAD KLCII JURONG CAMPUS SINGAPORE 600135,JURONG EAST,17544.6563342772,35105.394956341,OK,0,0,0,0,residential,WEST REGION,24122,0.0
Jake Merchandise Associates,Jake Merchandise AssociatesBlock 503 Tampines Central 1 #01-283 Singapore 520503,520503,Authorised Retailer,11,42,53,matched,1.3558033565401,103.945102946956,503 TAMPINES CENTRAL 1 TAMPINES HEART SINGAPORE 520503,TAMPINES,40440.3264011843,37543.6496071685,OK,0,0,0,0,residential,EAST REGION,75342,0.0
7-Eleven Store Yishun Ring Road,7-Eleven Store Yishun Ring RoadBlock 103 Yishun Ring Road #01-69 Singapore 760103,760103,Authorised Retailer (7-Eleven),11,51,62,matched,1.43136934951878,103.828892847163,103 YISHUN RING ROAD SINGAPORE 760103,YISHUN,27507.4825517498,45899.0676108301,OK,0,0,0,0,residential,NORTH REGION,65614,0.0
Wanrise,WanriseBlock 47 Sims Place #01-177 Singapore 380047,380047,Authorised Retailer,10,41,51,matched,1.31794121263529,103.879025382959,47 SIMS PLACE SIMS VISTA SINGAPORE 380047,GEYLANG,33086.7216639528,33356.8071504477,OK,0,0,31514,31514,residential,CENTRAL REGION,31514,0.00161833
Tay Sui Lan Agency,Tay Sui Lan Agency11 Collyer Quay #02-13 The Arcade Singapore 049317,049317,Authorised Retailer,10,45,55,matched,1.283619583733,103.852068945868,11 COLLYER QUAY THE ARCADE SINGAPORE 049317,DOWNTOWN CORE,30086.7610053467,29561.6592507306,OK,1995,1995,1995,3990,residential,CENTRAL REGION,1995,0.02756892
Tampines Trading - 828,Tampines Trading - 828Block 828 Tampines Street 81 #01-234 Singapore 520828,520828,Authorised Retailer,10,53,63,matched,1.34893084103853,103.934588111014,828 TAMPINES STREET 81 SINGAPORE 520828,TAMPINES,39270.1753824092,36783.6692674812,OK,0,0,0,0,residential,EAST REGION,75342,0.0
Singapore Pools Woodlands 888 Branch,Singapore Pools Woodlands 888 Branch888 Woodlands Drive 50 #01-711 888 Plaza Singapore 730888,730888,Branch,10,51,61,matched,1.43712301500434,103.795314383823,888 WOODLANDS DRIVE 50 888 PLAZA SINGAPORE 730888,WOODLANDS,23770.7139348229,46535.313734604,OK,0,0,0,0,residential,NORTH REGION,70072,0.0
Singapore Pools Tampines Mart Branch,Singapore Pools Tampines Mart Branch11 Tampines Street 32 #01-03 Tampines Mart Singapore 529287,529287,Branch,10,24,34,matched,1.35454944260132,103.959900189012,11 TAMPINES STREET 32 PLAYFACTO SCHOOL @ TAMPINES SINGAPORE 529287,TAMPINES,42087.1006097961,37405.0789034087,OK,0,0,0,0,residential,EAST REGION,75342,0.0
Singapore Pools Clementi N3 Branch,Singapore Pools Clementi N3 BranchBlock 325 Clementi Avenue 5 #01-145 Singapore 120325,120325,Branch,10,46,56,matched,1.315096685325,103.766817400667,325 CLEMENTI AVENUE 5 SINGAPORE 120325,CLEMENTI,20599.0578964362,33042.3259172272,OK,26730,26730,26730,26730,residential,WEST REGION,26730,0.00209502
Singapore Pools Bencoolen Branch,Singapore Pools Bencoolen Branch180 Bencoolen Street #01-59 The Bencoolen Singapore 189646,189646,Branch,10,58,68,matched,1.30166188823652,103.853356123694,180 BENCOOLEN STREET THE BENCOOLEN SINGAPORE 189646,ROCHOR,30229.9975490645,31556.6854084264,OK,1995,1995,3990,3990,residential,CENTRAL REGION,1995,0.01704261
Rangoon Provision Shop,Rangoon Provision ShopBlock 681 Race Course Road #01-309 Singapore 210681,210681,Authorised Retailer,10,38,48,matched,1.3137206738217,103.855272733514,681 RACE COURSE ROAD SINGAPORE 210681,KALLANG,30443.287252605,32890.0857380014,OK,0,0,0,42166,residential,CENTRAL REGION,40171,0.0
