outlet_name,address,postal_code,outlet_type,group1_wins,group2_wins,combined_wins,source
Cheng Tai Boon Beng,Cheng Tai Boon Beng150 Orchard Road #01-63 Orchard Plaza Singapore 238841,238841,Authorised Retailer,6,21,27,matched
Cheng Chew Wah Agency - Marine Terrace,Cheng Chew Wah Agency - Marine TerraceBlock 58 Marine Terrace #01-47 Singapore 440058,440058,Authorised Retailer,6,26,32,matched
7-Eleven Store McCallum Street,7-Eleven Store McCallum Street3 McCallum Street Singapore 069044,069044,Authorised Retailer (7-Eleven),6,37,43,matched
Wong Teck Chow Enterprise (Private) Limited,Wong Teck Chow Enterprise (Private) Limited390 Victoria Street #01-33 Village Hotel Bugis Singapore 188061,188061,Authorised Retailer,5,5,10,matched
U Stars Sumang Walk,U Stars Sumang WalkBlock 218 Sumang Walk #01-01 Singapore 820218,820218,,5,2,7,scraped
Tuck Lee Long,Tuck Lee LongBlock 159 Ang Mo Kio Avenue 4 #01-536 Singapore 560159,560159,Authorised Retailer,5,23,28,matched
Tay Ah Tho Trading,Tay Ah Tho Trading768 Woodlands Avenue 6 #01-21 Woodlands Mart Singapore 730768,730768,Authorised Retailer,5,25,30,matched
Tan Kai Huat Provision Shop,Tan Kai Huat Provision ShopBlock 123 Hougang Avenue 1 #01-1408 Singapore 530123,530123,Authorised Retailer,5,17,22,matched
Singapore Pools Sim Lim Square Branch,Singapore Pools Sim Lim Square Branch1 Rochor Canal Road #B1-37 Sim Lim Square Singapore 188504,188504,Branch,5,28,33,matched
Singapore Pools Silat Avenue Branch,Singapore Pools Silat Avenue BranchBlock 150 Silat Avenue #01-42 Singapore 160150,160150,Branch,5,13,18,matched
Singapore Pools Siglap Branch,Singapore Pools Siglap Branch697B East Coast Road Singapore 459060,459060,Branch,5,19,24,matched
Singapore Pools Choa Chu Kang Branch,Singapore Pools Choa Chu Kang BranchBlk 303 Choa Chu Kang Ave 4 #01-721 Singapore 680303,680303,,5,38,43,scraped
Singapore Pools Chinatown Point Branch,Singapore Pools Chinatown Point Branch133 New Bridge Road #B1-06 Chinatown Point  Singapore 059413,059413,Branch,5,77,82,matched
Singapore Pools Chin Swee Branch,Singapore Pools Chin Swee BranchBlock 52 Chin Swee Road #01-65/69 Singapore 160052,160052,Branch,5,19,24,matched
Singapore Pools Cheong Chin Nam Road Branch,Singapore Pools Cheong Chin Nam Road Branch5 Cheong Chin Nam Road Singapore 599730,599730,Branch,5,26,31,matched
Singapore Pools Beo Crescent Branch,Singapore Pools Beo Crescent BranchBlock 36 Beo Crescent #01-45 Singapore 160036,160036,Branch,5,25,30,matched
Sheng Siong Junction 9,Sheng Siong Junction 918 Yishun Avenue 9 #02-05 to #02-10 Junction 9 Singapore 768897,768897,Authorised Retailer,5,15,20,matched
Prime Chai Chee Road,Prime Chai Chee RoadBlock 25A Chai Chee Road #01-459 Singapore 461025,461025,Authorised Retailer,5,16,21,matched
Overseas Emporium (Private) Limited,Overseas Emporium (Private) Limited1 Park Road #02-70 People's Park Complex Singapore 059108,059108,Authorised Retailer,5,30,35,matched
OCN (Singapore) Pte Ltd,OCN (Singapore) Pte LtdBlock 501 West Coast Drive #01-266 Singapore 120501,120501,Authorised Retailer,5,34,39,matched
NTUC FairPrice Xpress Macpherson Road,NTUC FairPrice Xpress Macpherson Road110 MacPherson Road ExxonMobil Singapore 348501,348501,Authorised Retailer (FairPrice),5,26,31,matched
NTUC FairPrice Marsiling MRT Station,NTUC FairPrice Marsiling MRT Station71 Woodlands Avenue 3 #01-01 Marsiling MRT Singapore 739044,739044,Authorised Retailer (FairPrice),5,24,29,matched
NTUC FairPrice Lorong 4 Toa Payoh,NTUC FairPrice Lorong 4 Toa PayohBlock 192 Lorong 4 Toa Payoh #01-670/672 Singapore 310192,310192,Authorised Retailer (FairPrice),5,20,25,matched
NTUC FairPrice Joo Koon,NTUC FairPrice Joo Koon1 Joo Koon Circle #03-21 Fairprice Hub Singapore 629117,629117,Authorised Retailer (FairPrice),5,23,28,matched
NTUC FairPrice Jem,NTUC FairPrice Jem50 Jurong Gateway Road #B1-21/22 Jem Singapore 608549,608549,Authorised Retailer (FairPrice),5,52,57,matched
NTUC FairPrice Boon Lay Place,NTUC FairPrice Boon Lay Place221 Boon Lay Place #02-200 Boon Lay Shopping Complex Singapore 640221,640221,Authorised Retailer (FairPrice),5,46,51,matched
Nel's Store,Nel's StoreBlock 741 Bedok Reservoir Road #01-3073 Singapore 470741,470741,Authorised Retailer,5,14,19,matched
Nalayanee Trading Enterprise,Nalayanee Trading Enterprise127 Upper Paya Lebar Road Singapore 534839,534839,Authorised Retailer,5,17,22,matched
Lucky Hill,Lucky HillBlock 112 Bukit Purmei Road #01-209 Singapore 090112,090112,,5,14,19,scraped
Kim Chwee Trading,Kim Chwee TradingBlock 256 Jurong East Street 24 #01-385 Singapore 600256,600256,Authorised Retailer,5,23,28,matched
Hin Teck Leong Trading Company - Rowell Road,Hin Teck Leong Trading Company - Rowell RoadBlock 640 Rowell Road #01-68 Singapore 200640,200640,,5,18,23,scraped
Giant Parkway Parade,Giant Parkway Parade80 Marine Parade Rd Parkway Parade #03-27/30 Singapore 449269,449269,Authorised Retailer (FairPrice),5,16,21,matched
Everstream Trading,Everstream TradingBlock 283 Bukit Batok East Avenue 3 #01-281 Singapore 650283,650283,Authorised Retailer,5,49,54,matched
Dawn Florist,Dawn Florist21 Hougang Street 51 #01-04A Hougang Green Shopping Mall Singapore 538719,538719,Authorised Retailer,5,23,28,matched
Cold Storage Northpoint,Cold Storage Northpoint930 Yishun Ave 2 #B1-09/12 Northpoint Shopping Centre Singapore 769098,769098,Branch,5,25,30,matched
Chuan Hao Departmental Store,Chuan Hao Departmental StoreBlock 19A Dover Crescent #01-04 Singapore 131019,131019,Authorised Retailer,5,8,13,matched
Cheers New Upper Changi Road,Cheers New Upper Changi RoadBlock 59 New Upper Changi Road #01-1272 Singapore 461059,462026,Branch,5,21,26,matched
Cheers Haig Road,Cheers Haig RoadBlock 12 Haig Road #01-333/335 Singapore 430012,430012,,5,16,21,scraped
Afro Asia Co Pte Ltd,Afro Asia Co Pte LtdBlock 604 Yishun Street 61 #01-323 Singapore 760604,760604,Authorised Retailer,5,19,24,matched
7-Eleven Store Sixth Avenue,7-Eleven Store Sixth Avenue6 Sixth Avenue Singapore 276472,276472,Authorised Retailer (7-Eleven),5,14,19,matched
7-Eleven Store Choa Chu Kang Drive,7-Eleven Store Choa Chu Kang DriveBlock 689B Choa Chu Kang Drive #01-306 Singapore 682689,682689,Authorised Retailer (7-Eleven),5,26,31,matched
7-Eleven Store Changi Road,7-Eleven Store Changi Road38A Changi Road Singapore 419701,419701,Authorised Retailer (7-Eleven),5,19,24,matched
Yeo Soon Huat,Yeo Soon HuatBlk 70 Lor 4 Toa Payoh #01-347  Singapore 310070,310070,Authorised Retailer,4,9,13,matched
U Stars Keat Hong Link,U Stars Keat Hong LinkBlock 817 Keat Hong Link #01-14 Singapore 680817,680817,Authorised Retailer,4,7,11,matched
Teo Khar Bee Agency,Teo Khar Bee AgencyBlk 84 Redhill Lane #01-356 Singapore 150084,150084,Authorised Retailer,4,26,30,matched
Tan Ah Leck Trading - Bukit Batok Street 11,Tan Ah Leck Trading - Bukit Batok Street 11Block 151 Bukit Batok Street 11 #01-254 Singapore 650151,650151,Authorised Retailer,4,29,33,matched
Springdale Garments Co,Springdale Garments CoBlock 408 Ang Mo Kio Avenue 10 #01-795 Singapore 560408,560408,Authorised Retailer,4,43,47,matched
Singapore Pools Yishun N2 Branch,Singapore Pools Yishun N2 BranchBlock 256 Yishun Ring Road #01-1001 Singapore 760256,760256,Branch,4,30,34,matched
Singapore Pools Teban Gardens Branch,Singapore Pools Teban Gardens BranchBlock 37 Teban Gardens Road #01-308 Singapore 600037,600037,Branch,4,24,28,matched
Singapore Pools Jalan Tiga Branch,Singapore Pools Jalan Tiga BranchBlock 43 Jalan Tiga #01-08 Singapore 390043,390043,Branch,4,42,46,matched
Singapore Pools Ghim Moh Branch,Singapore Pools Ghim Moh BranchBlock 21 Ghim Moh Road #01-161 Singapore 270021,270021,Branch,4,28,32,matched
