outlet_name,postal_code,outlet_type,group1_wins,group2_wins,combined_wins,source,latitude,longitude,onemap_address,x_svy21,y_svy21,planning_area,geocode_status
Singapore Pools Peace Centre Branch,228149,,3,17,20,scraped,1.30121862271795,103.849592475825,1 SOPHIA ROAD ONE SOPHIA SINGAPORE 228149,29811.137870159,31507.6683762148,,OK
Singapore Pools Pasir Ris N7 Branch,510735,Branch,3,34,37,matched,1.37966812044177,103.936574613663,735 PASIR RIS STREET 72 PASIR RIS WEST PLAZA SINGAPORE 510735,39491.1055120081,40182.455862198,,OK
Singapore Pools Canberra Branch,750505,Branch,3,30,33,matched,1.45026201889682,103.822534715231,505 CANBERRA LINK MONTREAL SPRING SINGAPORE 750505,26799.9278127244,47988.1264963057,,OK
Singapore Pools Ang Mo Kio N2A Branch,561226,Branch,3,32,35,matched,1.36749458006861,103.839283930528,226A ANG MO KIO AVENUE 1 KEBUN BARU MALL SINGAPORE 561226,28663.8720501205,38836.1192687955,,OK
Prime Yishun Avenue 6,760461,Authorised Retailer,3,3,6,matched,1.42841338853064,103.84997365333,461 YISHUN AVENUE 6 BLOSSOM SPRING @ YISHUN SINGAPORE 760461,29853.4621971501,45572.2185465153,,OK
Papillon Florist Pte Ltd,160133,Authorised Retailer,3,12,15,matched,1.27955093259631,103.82740093837,133 JALAN BUKIT MERAH SINGAPORE 160133,27341.4143836265,29111.7619640846,,OK
NTUC FP Century Square,529509,,3,4,7,scraped,1.35236829566862,103.943812302253,2 TAMPINES CENTRAL 5 CENTURY SQUARE SINGAPORE 529509,40296.7094797157,37163.8108075112,,OK
NTUC FairPrice Tampines Street 11,521107,Authorised Retailer (FairPrice),3,10,13,matched,1.34836421842072,103.948158723814,107 TAMPINES STREET 11 SINGAPORE 521107,40780.438895965,36721.081947986,,OK
NTUC FairPrice Senja Road,670628,Authorised Retailer (FairPrice),3,10,13,matched,1.38512867383046,103.760410617887,628 SENJA ROAD SENJA CENTRE SINGAPORE 670628,19886.2763911784,40786.13172861,,OK
NTUC FairPrice Seletar Mall,797653,Authorised Retailer (FairPrice),3,18,21,matched,1.39130622992517,103.876085067727,33 SENGKANG WEST AVENUE SHAW THEATRES SELETAR SINGAPORE 797653,32759.350083435,41469.132806832,,OK
NTUC FairPrice New Upper Changi Road,461057,Authorised Retailer (FairPrice),3,27,30,matched,1.32424554153984,103.941568704132,57 NEW UPPER CHANGI ROAD SINGAPORE 461057,40047.159125166,34054.1237742491,,OK
NTUC FairPrice Kallang Wave Mall,397628,Authorised Retailer (FairPrice),3,14,17,matched,1.30307515150401,103.873149707591,1 STADIUM PLACE KALLANG WAVE MALL SINGAPORE 397628,32432.8422906362,31712.9829503335,,OK
NTUC FairPrice Kallang Bahru,330071,Authorised Retailer (FairPrice),3,14,17,matched,1.3209929422065,103.870389998344,71 KALLANG BAHRU SINGAPORE 330071,32125.6823681211,33694.2358436473,,OK
NTUC FairPrice Hougang Mall,538766,Authorised Retailer (FairPrice),3,30,33,matched,1.37253315637342,103.893883460466,90 HOUGANG AVENUE 10 CHENG SAN LIBRARY SINGAPORE 538766,34740.131613438,39393.3438594397,,OK
NTUC FairPrice Hillion Mall,678278,Authorised Retailer (FairPrice),3,27,30,matched,1.37843100800213,103.762842789877,17 PETIR ROAD BUKIT PANJANG INTEGRATED TRANSPORT HUB SINGAPORE 678278,20156.924196275,40045.5291034393,,OK
NTUC FairPrice Eastpoint Mall,528833,Authorised Retailer (FairPrice),3,39,42,matched,1.34270592355576,103.953024618234,3 SIMEI STREET 6 EASTPOINT MALL SINGAPORE 528833,41321.990633836,36095.4413322229,,OK
NTUC FairPrice Bukit Panjang Plaza,677743,Authorised Retailer (FairPrice),3,32,35,matched,1.37948804026655,103.764594965051,1 JELEBU ROAD BUKIT PANJANG LIBRARY SINGAPORE 677743,20351.9228967195,40162.4047455806,,OK
Kwek Lee Eng Agency,199018,Authorised Retailer,3,24,27,matched,1.30397881313463,103.861554245252,200 JALAN SULTAN HOPE CHURCH SINGAPORE SINGAPORE 199018,31142.3715569228,31812.8877880257,,OK
Hougang United Football Club,538856,,3,5,8,scraped,1.36949523794775,103.885957512282,100 HOUGANG AVENUE 2 HOUGANG STADIUM SINGAPORE 538856,33858.0774988886,39057.4052893464,,OK
Giant Pioneer Mall,640638,Authorised Retailer,3,29,32,matched,1.34169239214292,103.697174842118,638 JURONG WEST STREET 61 PIONEER MALL SINGAPORE 640638,12848.6614737436,35983.4657739643,,OK
Giant Paya Lebar Square,409051,,3,26,29,scraped,1.31881487007651,103.892580778514,60 PAYA LEBAR ROAD PAYA LEBAR SQUARE SINGAPORE 409051,34595.3032159209,33453.443530187,,OK
Giant Compassvale Bow,540266,,3,18,21,scraped,1.38187771301641,103.897039857818,266 COMPASSVALE BOW SINGAPORE 540266,35091.3726167195,40426.6272025574,,OK
Everbright  Services,100108,Authorised Retailer,3,21,24,matched,1.28084469467756,103.810292618353,108 DEPOT ROAD DEPOT HEIGHTS SHOPPING CENTRE SINGAPORE 100108,25437.3978480315,29254.8302480821,,OK
7-Eleven Store Sin Ming,574369,Authorised Retailer (7-Eleven),3,16,19,matched,1.35327556197146,103.834836368264,244 UPPER THOMSON ROAD THOMSON GARDEN ESTATE SINGAPORE 574369,28168.9127276242,37263.8519722018,,OK
7-Eleven Store Circular Road,049413,Authorised Retailer (7-Eleven),3,12,15,matched,1.28606946719614,103.84924456163,58 CIRCULAR ROAD BOAT QUAY CONSERVATION AREA SINGAPORE 049413,29772.4286603387,29832.5525897108,,OK
7-Eleven Big Mac Centre,569922,Authorised Retailer,3,1,4,matched,1.36929729654979,103.84715944541,51 ANG MO KIO AVENUE 3 51 @ AMK SINGAPORE 569922,29540.3211999806,39035.4580954239,,OK
Yeo Kean Fatt Dept Store,460017,Authorised Retailer,2,6,8,matched,1.32014883000628,103.935563486677,17 BEDOK SOUTH ROAD SINGAPORE 460017,39378.8562403722,33601.1013485529,,OK
Tampines Trading - 824,520824,Authorised Retailer,2,20,22,matched,1.34903743516549,103.932714940894,824 TAMPINES STREET 81 SINGAPORE 520824,39061.7116364604,36795.4473269135,,OK
Singapore Pools Yishun N4 Branch,760415,Branch,2,35,37,matched,1.42444263730394,103.845870092641,415 YISHUN AVENUE 11 SINGAPORE 760415,29396.7992897127,45133.1499639917,,OK
